year;month;area;uf;className;numPol
2020;5;1.93;AM;DESMATAMENTO_VEG;8
2022;5;0.88;AM;DESMATAMENTO_VEG;3
2022;6;1.18;AM;DESMATAMENTO_VEG;12
2022;7;32.33;AM;DESMATAMENTO_VEG;20
2022;8;2.16;AM;DESMATAMENTO_VEG;23
2022;9;0.06;AM;DESMATAMENTO_VEG;1
2023;12;0.18;AM;DESMATAMENTO_VEG;2
2022;11;0.09;AM;DESMATAMENTO_VEG;1
2023;11;0.24;AM;DESMATAMENTO_VEG;2
2022;12;0.29;AM;DESMATAMENTO_VEG;3
2023;1;0.45;AM;DESMATAMENTO_VEG;5
2023;10;0.08;AM;DESMATAMENTO_VEG;1
2023;2;0.1;AM;DESMATAMENTO_VEG;1
2023;3;3.14;AM;DESMATAMENTO_VEG;21
2023;8;0.59;AM;DESMATAMENTO_VEG;4
2023;4;1.7;AM;DESMATAMENTO_VEG;13
2023;7;3.74;AM;DESMATAMENTO_VEG;32
2023;5;9.68;AM;DESMATAMENTO_VEG;49
2023;6;4.92;AM;DESMATAMENTO_VEG;41
2023;6;121.33;AM;DESMATAMENTO_CR;604
2023;5;137.66;AM;DESMATAMENTO_CR;449
2023;7;83.62;AM;DESMATAMENTO_CR;525
2023;4;86.22;AM;DESMATAMENTO_CR;272
2023;8;81.09;AM;DESMATAMENTO_CR;483
2023;3;121.53;AM;DESMATAMENTO_CR;282
2023;9;84.14;AM;DESMATAMENTO_CR;518
2023;2;45.87;AM;DESMATAMENTO_CR;109
2023;10;41.44;AM;DESMATAMENTO_CR;314
2023;1;13.49;AM;DESMATAMENTO_CR;23
2022;12;18.87;AM;DESMATAMENTO_CR;106
2023;11;13.48;AM;DESMATAMENTO_CR;99
2022;11;85.73;AM;DESMATAMENTO_CR;518
2023;12;11.77;AM;DESMATAMENTO_CR;62
2022;10;142.28;AM;DESMATAMENTO_CR;731
2022;9;283.87;AM;DESMATAMENTO_CR;1113
2022;7;457.37;AM;DESMATAMENTO_CR;1799
2022;6;395.46;AM;DESMATAMENTO_CR;1300
2022;5;296.62;AM;DESMATAMENTO_CR;1107
2022;4;346.64;AM;DESMATAMENTO_CR;897
2022;3;105.86;AM;DESMATAMENTO_CR;212
2022;2;40.49;AM;DESMATAMENTO_CR;77
2022;1;43.7;AM;DESMATAMENTO_CR;160
2021;12;6.25;AM;DESMATAMENTO_CR;29
2021;11;9.6;AM;DESMATAMENTO_CR;59
2020;1;10.53;AM;DESMATAMENTO_CR;92
2021;10;113.19;AM;DESMATAMENTO_CR;472
2020;2;19.31;AM;DESMATAMENTO_CR;87
2020;3;71.17;AM;DESMATAMENTO_CR;143
2021;9;227.01;AM;DESMATAMENTO_CR;1131
2020;4;77.27;AM;DESMATAMENTO_CR;165
2021;8;198.32;AM;DESMATAMENTO_CR;1157
2020;5;180.38;AM;DESMATAMENTO_CR;494
2021;7;429.62;AM;DESMATAMENTO_CR;2261
2020;6;167.17;AM;DESMATAMENTO_CR;885
2021;6;213.71;AM;DESMATAMENTO_CR;991
2020;7;278.09;AM;DESMATAMENTO_CR;1472
2021;5;342.74;AM;DESMATAMENTO_CR;1100
2021;4;173.47;AM;DESMATAMENTO_CR;336
2020;8;217.17;AM;DESMATAMENTO_CR;1571
2021;3;61.41;AM;DESMATAMENTO_CR;100
2020;9;115.62;AM;DESMATAMENTO_CR;679
2021;2;25.43;AM;DESMATAMENTO_CR;98
2021;1;5.86;AM;DESMATAMENTO_CR;24
2020;10;88.49;AM;DESMATAMENTO_CR;514
2020;12;5.73;AM;DESMATAMENTO_CR;33
2020;11;21.81;AM;DESMATAMENTO_CR;105
2022;8;306.76;AM;DESMATAMENTO_CR;1113
